,,,,,,,,,,,,,,,Feeder,50%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,100% Live,15%,," 7,805,702 "," 1,170,855.33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,," 1,990,454.06 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,," 1,444,140 "," 600,882 ",,,,,,,,," 22,095,709,755 "," 10,815,617,067 ",,,,," 7,192,975 ",#REF!,,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,ßßßßßßß
,,,,,,,,,,,,,,,,48.95%,,,,,,,,,,,,,,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEM Number,CEM Initiation Date,City Name,Fesibility Name,Area / Section / Pocket / Society (Original Name),"Total
H.P",Customers According to % (Market Share),New Customers,Terminated,Active ,Not Active,Remarks - Actuals,Customers based on completion,HP%  based on Live % ( Work Progress),HP Based on completion - Realistic,Allocated Budget,Revised Budget,Difference,Costing Efficiency,Area / Section / Pocket / Society (Revised Name),Customers Take up %age (Key Factor),"Total 
Civil works - Buried","Total 
Civil works - Arial","Originally Approved on:
Arial, Buried, Hybrid",Allocation Percentage,Current Status (Live/Not Live),"Live on (Arial,Buried, Hybrid)",% of Completion of Work Done,Compeltion % not %,Start Date..,Start Date OffSet,Duration,Days Remaining,Status,Timeline,Timeline - Monthwise,Remarks by ODN,Remarks Grouped,Std Remarks,Additional Remarks (5-6M),Additional Remarks (5-6M)2,Swapped With -,Swapped/Removal Budget,HP - Revised,71 vs 26,72 vs 26,,,,,,,,,,,,,,,,,,,,,,
I250212,14/09/2024,Swat,Mingora, Between Fizaghat & Sangota, 62 , 25 ,,,,, NOC and Civil work pending ,NOT LIVE - RETAIN BUDGET,0%,24.8," 5,376,147 "," 5,376,147.3 ", -   ,-1,,0.4," 1,617 "," 3,173 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,92,93, 45 , Yet to Start ,46174,Jun-2026,Need to retain,Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,2,,,,,I250212,Jun-26,,,,,,,,,,,,,,,,,,,,,,
I260296,No Initiation Date,Sukkur,Sukkur,100 Feet Rd P1," 1,472 ", 589 ,,,,,,NOT LIVE - RETAIN BUDGET,70%,," 22,129,453 "," 8,962,428.5 ",,,,," 5,112 "," 19,418 ",Hybrid,70%,NOT LIVE,,70%,0.7,Mar-26,31,32,-16 , In Progress ,1 Month,Apr-2026,Crossing Pending and Other Civil Related work pending,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I260296,No Initiation Date,Sukkur,Sukkur,100 Feet Rd P2," 2,416 ", 966 ,,,,,,NOT LIVE - RETAIN BUDGET,70%,," 26,522,964 "," 10,741,800.3 ",,,,," 4,135 "," 30,832 ",Hybrid,70%,NOT LIVE,,70%,0.7,Mar-26,31,32,-16 , In Progress ,1 Month,Apr-2026,Crossing Pending and Other Civil Related work pending,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Apr-26,,,,,,,,,,,,,,,,,,,,,,
